25.15,-0.0616
25.2,-0.0628
25.25,-0.0644
25.3,-0.0666
25.35,-0.0691
25.4,-0.0719
25.45,-0.0751
25.5,-0.0783
25.55,-0.0819
25.6,-0.0852
25.65,-0.0888
25.7,-0.0922
25.75,-0.0953
25.8,-0.0982
25.85,-0.1008
25.9,-0.103
25.95,-0.1046
26,-0.106
26.05,-0.1067
26.1,-0.107
26.15,-0.1067
26.2,-0.106
26.25,-0.1046
26.3,-0.1031
26.35,-0.1011
26.4,-0.0987
26.45,-0.0959
26.5,-0.093
26.55,-0.09
26.6,-0.0868
26.65,-0.0835
26.7,-0.0804
26.75,-0.0775
26.8,-0.0746
26.85,-0.072
26.9,-0.0697
26.95,-0.0679
27,-0.0663
27.05,-0.0654
27.1,-0.0648
27.15,-0.0646
27.2,-0.065
27.25,-0.0658
27.3,-0.0672
27.35,-0.0689
27.4,-0.0708
27.45,-0.0731
27.5,-0.0757
27.55,-0.0785
27.6,-0.0814
27.65,-0.0843
27.7,-0.0872
27.75,-0.0901
27.8,-0.0929
27.85,-0.0953
27.9,-0.0976
27.95,-0.0996
28,-0.1013
28.05,-0.1023
28.1,-0.103
28.15,-0.1031
28.2,-0.1027
28.25,-0.1017
28.3,-0.1004
28.35,-0.0987
28.4,-0.0966
28.45,-0.0943
28.5,-0.0919
28.55,-0.0894
28.6,-0.0866
28.65,-0.0839
28.7,-0.0814
28.75,-0.0788
28.8,-0.0765
28.85,-0.0743
28.9,-0.0724
28.95,-0.0708
29,-0.0696
29.05,-0.0688
29.1,-0.0683
29.15,-0.0681
29.2,-0.0684
29.25,-0.069
29.3,-0.0698
29.35,-0.0711
29.4,-0.0726
29.45,-0.0746
29.5,-0.0766
29.55,-0.0788
29.6,-0.0812
29.65,-0.0837
29.7,-0.0861
29.75,-0.0884
29.8,-0.0907
29.85,-0.0929
29.9,-0.0948
29.95,-0.0965
30,-0.098
30.05,-0.0991
30.1,-0.0998
30.15,-0.1003
30.2,-0.1003
30.25,-0.0999
30.3,-0.0992
30.35,-0.0982
30.4,-0.0969
30.45,-0.0954
30.5,-0.0936
30.55,-0.0917
30.6,-0.0896
30.65,-0.0876
30.7,-0.0854
30.75,-0.0832
30.8,-0.081
30.85,-0.0791
30.9,-0.0772
30.95,-0.0755
31,-0.0741
31.05,-0.073
31.1,-0.072
31.15,-0.0715
31.2,-0.0713
31.25,-0.0715
31.3,-0.0722
31.35,-0.073
31.4,-0.0742
31.45,-0.0755
31.5,-0.0771
31.55,-0.0788
31.6,-0.0806
31.65,-0.0825
31.7,-0.0844
31.75,-0.0863
31.8,-0.0883
31.85,-0.0901
31.9,-0.0918
31.95,-0.0933
32,-0.0946
32.05,-0.0956
32.1,-0.0964
32.15,-0.097
32.2,-0.0973
32.25,-0.0973
32.3,-0.0969
32.35,-0.0963
32.4,-0.0956
32.45,-0.0946
32.5,-0.0934
32.55,-0.092
32.6,-0.0905
32.65,-0.0888
32.7,-0.0871
32.75,-0.0854
32.8,-0.0838
32.85,-0.0821
32.9,-0.0805
32.95,-0.0791
33,-0.0779
33.05,-0.0768
33.1,-0.0758
33.15,-0.0751
33.2,-0.0745
33.25,-0.0742
33.3,-0.0742
33.35,-0.0745
33.4,-0.0749
33.45,-0.0755
33.5,-0.0764
33.55,-0.0774
33.6,-0.0786
33.65,-0.0798
33.7,-0.0811
33.75,-0.0826
33.8,-0.084
33.85,-0.0855
33.9,-0.0868
33.95,-0.0883
34,-0.0896
34.05,-0.0909
34.1,-0.0919
34.15,-0.0928
34.2,-0.0934
34.25,-0.0937
34.3,-0.0939
34.35,-0.0939
34.4,-0.0936
34.45,-0.0931
34.5,-0.0925
34.55,-0.0917
34.6,-0.0906
34.65,-0.0895
34.7,-0.0883
34.75,-0.0871
34.8,-0.0859
34.85,-0.0846
34.9,-0.0834
34.95,-0.0822
35,-0.0812
35.05,-0.0803
35.1,-0.0794
35.15,-0.0787
35.2,-0.0782
35.25,-0.078
35.3,-0.0779
35.35,-0.0779
35.4,-0.0779
35.45,-0.0781
35.5,-0.0785
35.55,-0.0789
35.6,-0.0798
35.65,-0.0805
35.7,-0.0814
35.75,-0.0823
35.8,-0.0833
35.85,-0.0843
35.9,-0.0852
35.95,-0.0862
36,-0.0872
36.05,-0.088
36.1,-0.0889
36.15,-0.0897
36.2,-0.0905
36.25,-0.0909
36.3,-0.0914
36.35,-0.0916
36.4,-0.0916
36.45,-0.0913
36.5,-0.0909
36.55,-0.0905
36.6,-0.0897
36.65,-0.089
36.7,-0.0883
36.75,-0.0876
36.8,-0.0868
36.85,-0.0861
36.9,-0.0854
36.95,-0.0846
37,-0.0839
37.05,-0.0832
